SEASON,DATE,ROUND,BOWL,CFP TV RATINGS HISTORY SportsMediaWatch.com MATCHUP,MARGIN,Network,Nielsen,Viewers,Format
2017,Monday 01.01.18,Semi,Rose,GEORGIA / OKLAHOMA,UGA +6 ,(200 ESPN ESPN2,13.7,26913000,CFP
2017,Monday 01.01.18,Semi,Sugar,ALABAMA / CLEMSON,ALA +18,ESPN ESPN2,11.4,21473000,CFP
2017,Saturday 12.30.17,NY6,Orange,WISCONSIN / MIAMI,WISC +10,ESPN,6.3,11727000,CFP
2017,Saturday 12.30.17,NY6,Fiesta,PENN STATE / WASHINGTON,PSU+7,ESPN,5.7,10167000,CFP
2017,Friday 12.29.17,NY6,Cotton,OHIO STATE / USC,OSU +17,ESPN,5.3,9468000,CFP
2017,Monday 01.01.18,NY6,Peach,UCF / AUBURN,UCF+7,ESPN,4.6,8377000,CFP
2016,Monday 01.09.17,NC,CFPNC,CLEMSON / ALABAMA,CLEM +4,ESPN Megacast,14.2,25266000,CFP
2016,Saturday 12.31.16,Semi,Peach,ALABAMA / WASHINGTON,ALA +17,ESPN ESPN2,10.7,19344000,CFP
2016,Saturday 12.31.16,semi,Fiesta,CLEMSON / OHIO STATE,CLEM +31,ESPN ESPN2,9.8,19237000,CFP
2016,Monday 01.02.17,NY6,Rose,USC / PENN STATE,USC +3,ESPN,8.6,15740000,CFP
2016,Friday 12.30.16,NY6,Orange,FLORIDA STATE / MICHIGAN,FSU +1,ESPN,6.2,11461000,CFP
2016,Monday 01.02.17,NY6,Sugar,OKLAHOMA / AUBURN,OKLA +16,ESPN,5.6,9515000,CFP
2016,Monday 01.02.17,NY6,Cotton,WISCONSIN / WESTERN MICHIGAN,WISC +8,ESPN,3.1,5442000,CFP
2015,Monday 01.11.16,NC,CFPNC,ALABAMA / CLEMSON,ALA +5,ESPN Megacast,15,26182000,CFP
2015,Thursday 12.31.15,semi,Cotton,ALABAMA / MICHIGAN STATE,ALA +38,ESPN ESPN2,9.6,18641000,CFP
2015,Thursday 12.31.15,Semi,Orange,CLEMSON / OKLAHOMA,CLEM +20,ESPN ESPN2,9.1,15730000,CFP
2015,Friday 01.01.16,NY6,Rose,STANFORD / IOWA,STAN +29,ESPN,7.4,13552000,CFP
